username,password,email,phone_number,grant_permisson
1921050029,1,student.humg.edu.vn,221456,
1921050030,1,student.humg.edu.vn,221457,
1921050031,1,student.humg.edu.vn,221458,
1921050032,1,student.humg.edu.vn,221459,
1921050033,1,student.humg.edu.vn,221460,
1921050034,1,student.humg.edu.vn,221461,
1921050035,1,student.humg.edu.vn,221462,
1921050036,1,student.humg.edu.vn,221463,
1921050037,1,student.humg.edu.vn,221464,
1921050038,1,student.humg.edu.vn,221465,
1921050039,1,student.humg.edu.vn,221466,
1921050040,1,student.humg.edu.vn,221467,
1921050041,1,student.humg.edu.vn,221468,
1921050042,1,student.humg.edu.vn,221469,
1921050043,1,student.humg.edu.vn,221470,
1921050044,1,student.humg.edu.vn,221471,
1921050045,1,student.humg.edu.vn,221472,
1921050046,1,student.humg.edu.vn,221473,
1921050047,1,student.humg.edu.vn,221474,
1921050048,1,student.humg.edu.vn,221475,
1921050049,1,student.humg.edu.vn,221476,
1921050050,1,student.humg.edu.vn,221477,
1921050051,1,student.humg.edu.vn,221478,
1921050052,1,student.humg.edu.vn,221479,
1921050053,1,student.humg.edu.vn,221480,
1921050054,1,student.humg.edu.vn,221481,
1921050055,1,student.humg.edu.vn,221482,
1921050056,1,student.humg.edu.vn,221483,
1921050057,1,student.humg.edu.vn,221484,
1921050058,1,student.humg.edu.vn,221485,
1921050059,1,student.humg.edu.vn,221486,
1921050060,1,student.humg.edu.vn,221487,
1921050061,1,student.humg.edu.vn,221488,
1921050062,1,student.humg.edu.vn,221489,
1921050063,1,student.humg.edu.vn,221490,
1921050064,1,student.humg.edu.vn,221491,
1921050065,1,student.humg.edu.vn,221492,
1921050066,1,student.humg.edu.vn,221493,
1921050067,1,student.humg.edu.vn,221494,
1921050068,1,student.humg.edu.vn,221495,
1921050069,1,student.humg.edu.vn,221496,
1921050070,1,student.humg.edu.vn,221497,
1921050071,1,student.humg.edu.vn,221498,
1921050072,1,student.humg.edu.vn,221499,
1921050073,1,student.humg.edu.vn,221500,
1921050074,1,student.humg.edu.vn,221501,
1921050075,1,student.humg.edu.vn,221502,
1921050076,1,student.humg.edu.vn,221503,
1921050077,1,student.humg.edu.vn,221504,
1921050078,1,student.humg.edu.vn,221505,
1921050079,1,student.humg.edu.vn,221506,
1921050080,1,student.humg.edu.vn,221507,
1921050081,1,student.humg.edu.vn,221508,
1921050082,1,student.humg.edu.vn,221509,
1921050083,1,student.humg.edu.vn,221510,
1921050084,1,student.humg.edu.vn,221511,
1921050085,1,student.humg.edu.vn,221512,
1921050086,1,student.humg.edu.vn,221513,
1921050087,1,student.humg.edu.vn,221514,
1921050088,1,student.humg.edu.vn,221515,
1921050089,1,student.humg.edu.vn,221516,
1921050090,1,student.humg.edu.vn,221517,
1921050091,1,student.humg.edu.vn,221518,
1921050092,1,student.humg.edu.vn,221519,
1921050093,1,student.humg.edu.vn,221520,
1921050094,1,student.humg.edu.vn,221521,
1921050095,1,student.humg.edu.vn,221522,
1921050096,1,student.humg.edu.vn,221523,
1921050097,1,student.humg.edu.vn,221524,
1921050098,1,student.humg.edu.vn,221525,
1921050099,1,student.humg.edu.vn,221526,
1921050100,1,student.humg.edu.vn,221527,
1921050101,1,student.humg.edu.vn,221528,
1921050102,1,student.humg.edu.vn,221529,
1921050103,1,student.humg.edu.vn,221530,
1921050104,1,student.humg.edu.vn,221531,
1921050105,1,student.humg.edu.vn,221532,
1921050106,1,student.humg.edu.vn,221533,
1921050107,1,student.humg.edu.vn,221534,
1921050108,1,student.humg.edu.vn,221535,
1921050109,1,student.humg.edu.vn,221536,
1921050110,1,student.humg.edu.vn,221537,
1921050111,1,student.humg.edu.vn,221538,
1921050112,1,student.humg.edu.vn,221539,
1921050113,1,student.humg.edu.vn,221540,
1921050114,1,student.humg.edu.vn,221541,
1921050115,1,student.humg.edu.vn,221542,
1921050116,1,student.humg.edu.vn,221543,
1921050117,1,student.humg.edu.vn,221544,
1921050118,1,student.humg.edu.vn,221545,
1921050119,1,student.humg.edu.vn,221546,
1921050120,1,student.humg.edu.vn,221547,
1921050121,1,student.humg.edu.vn,221548,
1921050122,1,student.humg.edu.vn,221549,
1921050123,1,student.humg.edu.vn,221550,
1921050124,1,student.humg.edu.vn,221551,
1921050125,1,student.humg.edu.vn,221552,
1921050126,1,student.humg.edu.vn,221553,
1921050127,1,student.humg.edu.vn,221554,
1921050128,1,student.humg.edu.vn,221555,
