student_code,student_name,student_sex,student_birthday,id_class,student_course,student_study_time
1921050030,An-1,nam,10/5/2001,2,64,4.5
1921050031,An-2,nam,10/6/2001,2,64,4.5
1921050032,An-3,nam,10/7/2001,2,64,4.5
1921050033,An-4,nam,10/8/2001,2,64,4.5
1921050034,An-5,nam,10/9/2001,2,64,4.5
1921050035,An-6,nam,10/10/2001,2,64,4.5
1921050036,An-7,nam,10/11/2001,2,64,4.5
1921050037,An-8,nam,10/12/2001,2,64,4.5
1921050038,An-9,nam,10/13/2001,2,64,4.5
1921050039,An-10,nam,10/14/2001,2,64,4.5
1921050040,An-11,nam,10/15/2001,2,64,4.5
1921050041,An-12,nam,10/16/2001,2,64,4.5
1921050042,An-13,nam,10/17/2001,2,64,4.5
